Time, Type, Data
18/09/2016 17:16:06.171,RX,02-22-58-85-E0-07-09-12-7B-6C-B4-03-02-1E-B8-E0-83-12-56-78-61-86-19-66-88-A1-85-14-46-E8-A0-82-07-16-48-60-81-07-26-98-A0-81-02-FA-B7-9F-7E-F9-E5-97-9F-7E-F9-E5-87-1F-7E-F7-DD-77-DF-7D-F8-E9-B7-1F-7F-FE-01-18-20-81-05-12-38-20-80-FC-DD-27-5F-7B-EA-A1-77-DE-79-E8-A1-87-1E-0F-03-02-24-2D-30-E0-07-09-12-E7-69-B4-03-91-FE-91-FE-B2-00-B2-00-B2-00-B2-00-B2-00-FA-FE-FA-FE-FA-FE-FA-FE-85-01-85-01-85-01-85-01-85-01-A7-FF-A7-FF-53-03
18/09/2016 17:16:06.391,RX,02-22-58-86-E0-07-09-12-77-6D-B4-03-E8-A5-B7-1E-7B-ED-B9-F7-1E-7C-F2-CD-57-9F-7D-F6-D9-67-9F-7D-F6-D5-47-DF-7C-F3-C9-27-9F-7C-F2-CD-47-1F-7D-F4-D1-47-1F-7D-F3-D1-47-1F-7D-F5-D1-47-DF-7C-F2-C9-17-5F-7C-F1-C5-17-5F-7C-F0-BD-D7-5E-7B-ED-B9-07-DF-7C-F5-E1-A7-1F-7F-FE-01-08-20-14-03
18/09/2016 17:16:06.510,TX,02-23-00-00-03
18/09/2016 17:16:06.562,RX,02-21-20-A1-E0-07-09-12-6F-6B-B4-03-FF-FD-F7-DF-7F-FF-FD-F7-DF-7F-FF-FD-F7-9F-7F-FE-F9-E7-9F-7F-FE-F9-07-37-03
18/09/2016 17:16:06.678,RX,02-22-58-87-E0-07-09-12-73-6E-B4-03-01-06-18-20-80-FF-F5-B7-5F-7E-F8-DD-57-1F-7D-F2-C5-07-DF-7B-EE-B9-E7-5E-7B-ED-B5-D7-9E-7B-EE-BD-F7-DE-7B-EF-C1-07-1F-7C-EE-B1-97-9E-79-E4-8D-47-DE-79-EC-C1-17-9F-7B-E6-71-17-5D-72-C4-11-77-5C-73-D4-69-E7-9D-77-DC-61-57-5D-75-D8-75-27-1E-4E-03
18/09/2016 17:16:06.781,RX,02-23-00-00-03
18/09/2016 17:16:06.884,RX,02-22-58-88-E0-07-09-12-6F-6F-B4-03-E6-99-57-9E-78-DE-6D-77-5D-75-D4-51-57-5D-75-D5-55-57-5D-75-D7-69-F7-5D-79-EB-C9-87-5F-7F-02-1A-98-E0-82-0E-3E-08-21-84-0F-3A-C8-60-82-06-0E-18-E0-7F-FC-E9-87-5F-7D-F2-BD-E7-5E-7B-ED-B5-D7-1E-7B-EC-B1-D7-9E-7B-F0-C5-37-1F-7D-F5-D5-57-1F-D8-03
18/09/2016 17:16:07.056,RX,02-20-35-22-E0-07-09-12-1F-71-B4-03-59-00-98-00-00-80-E8-FF-01-00-04-00-31-10-03-00-78-0A-30-02-A0-FF-A5-FF-1E-00-26-00-15-00-1F-00-00-00-FF-FF-00-00-00-00-01-00-5A-80-D3-03
18/09/2016 17:16:07.171,RX,02-22-58-89-E0-07-09-12-6B-70-B4-03-F4-D1-47-1F-7D-F5-D9-67-DF-7D-F7-E1-97-1F-7E-F6-CD-07-9F-7B-EC-B1-B7-DE-7A-EB-B5-E7-5E-7C-F3-D9-77-1F-7E-FA-E9-B7-DF-7E-FC-F5-F7-1F-80-00-06-18-60-80-01-06-18-60-80-02-0E-48-20-81-04-0E-28-60-80-00-FE-E7-1F-7F-FB-E5-87-9F-7D-F4-C9-07-1F-39-03
18/09/2016 17:16:07.287,RX,02-24-2D-31-E0-07-09-12-D7-6D-B4-03-A7-FF-A7-FF-A7-FF-A7-FF-A7-FF-A7-FF-A7-FF-A7-FF-A7-FF-A7-FF-A7-FF-F3-02-F3-02-F3-02-F3-02-F3-02-F3-02-F3-02-2B-03
